,obs_val,pred_val,signal
2022-01-19 12:05:00,2.77,2.875395050048828,0
2022-01-19 12:10:00,2.77,2.8753955078124998,0
2022-01-19 12:15:00,2.77,2.875395050048828,0
2022-01-19 12:20:00,2.77,2.87743423461914,0
2022-01-19 12:25:00,2.77,2.8774333190917964,0
2022-01-19 12:30:00,2.77,2.877432708740234,0
2022-01-19 12:35:00,2.77,2.877433471679687,0
2022-01-19 12:40:00,2.77,2.8774331665039057,0
2022-01-19 12:45:00,2.77,2.8774324035644527,0
2022-01-19 12:50:00,2.77,2.8774328613281246,0
2022-01-19 12:55:00,2.77,2.877432250976562,0
2022-01-19 13:00:00,2.77,2.877431488037109,0
2022-01-19 13:05:00,2.77,2.8774308776855464,0
2022-01-19 13:10:00,2.77,2.8774841308593744,0
2022-01-19 13:15:00,2.77,2.8775570678710936,0
2022-01-19 13:20:00,2.77,2.8776130676269527,0
2022-01-19 13:25:00,2.77,2.87761978149414,0
2022-01-19 13:30:00,2.77,2.8776681518554685,0
2022-01-19 13:35:00,2.77,2.8776908874511715,0
2022-01-19 13:40:00,2.77,2.8043957519531246,0
2022-01-19 13:45:00,2.77,2.8044079589843744,0
2022-01-19 13:50:00,2.77,2.8044548034667964,0
2022-01-19 13:55:00,2.77,2.804356231689453,0
2022-01-19 14:00:00,2.77,2.804308776855468,0
2022-01-19 14:05:00,2.77,2.8043441772460933,0
2022-01-19 14:10:00,2.77,2.804442443847656,0
2022-01-19 14:15:00,2.77,2.8044546508789057,0
2022-01-19 14:20:00,2.77,2.8044233703613277,0
2022-01-19 14:25:00,2.77,2.804394378662109,0
2022-01-19 14:30:00,2.77,2.795784301757812,0
2022-01-19 14:35:00,2.77,2.789267425537109,0
2022-01-19 14:40:00,2.77,2.7807063293457026,0
2022-01-19 14:45:00,2.77,2.772117309570312,0
2022-01-19 14:50:00,2.77,2.765652160644531,0
2022-01-19 14:55:00,2.78,2.7570068359374997,0
2022-01-19 15:00:00,2.78,2.7484742736816403,0
2022-01-19 15:05:00,2.77,2.74211685180664,0
2022-01-19 15:10:00,2.78,2.7336030578613277,0
2022-01-19 15:15:00,2.78,2.7271879577636713,0
2022-01-19 15:20:00,2.78,2.718665161132812,0
2022-01-19 15:25:00,2.78,2.7101661682128904,0
2022-01-19 15:30:00,2.78,2.705929107666015,0
2022-01-19 15:35:00,2.78,2.7059208679199216,0
2022-01-19 15:40:00,2.78,2.708073272705078,0
2022-01-19 15:45:00,2.78,2.708066253662109,0
2022-01-19 15:50:00,2.78,2.708065032958984,0
2022-01-19 15:55:00,2.78,2.7080651855468747,0
2022-01-19 16:00:00,2.78,2.708064575195312,0
2022-01-19 16:05:00,2.78,2.708065338134765,0
2022-01-19 16:10:00,2.78,2.7080656433105466,0
2022-01-19 16:15:00,2.78,2.70806411743164,0
2022-01-19 16:20:00,2.78,2.708062133789062,0
2022-01-19 16:25:00,2.78,2.7080632019042965,0
2022-01-19 16:30:00,2.78,2.708064727783203,0
2022-01-19 16:35:00,2.78,2.708064727783203,0
2022-01-19 16:40:00,2.78,2.708064727783203,0
2022-01-19 16:45:00,2.78,2.708066711425781,0
2022-01-19 16:50:00,2.78,2.7080665588378903,0
2022-01-19 16:55:00,2.78,2.708067016601562,0
2022-01-19 17:00:00,2.78,2.708067932128906,0
2022-01-19 17:05:00,2.78,2.7079081726074214,0
2022-01-19 17:10:00,2.78,2.707362213134765,0
2022-01-19 17:15:00,2.78,2.7084632873535153,0
2022-01-19 17:20:00,2.78,2.707462463378906,0
2022-01-19 17:25:00,2.78,2.7063436889648433,0
2022-01-19 17:30:00,2.78,2.700359954833984,0
2022-01-19 17:35:00,2.78,2.6962832641601557,0
2022-01-19 17:40:00,2.78,2.692139892578125,0
2022-01-19 17:45:00,2.78,2.6858105468749995,0
2022-01-19 17:50:00,2.78,2.6816658020019526,0
2022-01-19 17:55:00,2.78,2.677490844726562,1
2022-01-19 18:00:00,2.78,2.6711006164550777,1
2022-01-19 18:05:00,2.78,2.6670300292968747,1
2022-01-19 18:10:00,2.78,2.660672454833984,1
2022-01-19 18:15:00,2.78,2.6565417480468745,1
2022-01-19 18:20:00,2.78,2.650178833007812,1
2022-01-19 18:25:00,2.78,2.6461096191406246,1
2022-01-19 18:30:00,2.78,2.6420314025878904,1
2022-01-19 18:35:00,2.78,2.6301779174804683,1
2022-01-19 18:40:00,2.78,2.620541839599609,1
2022-01-19 18:45:00,2.78,2.608638763427734,1
2022-01-19 18:50:00,2.78,2.598954925537109,1
2022-01-19 18:55:00,2.78,2.583142395019531,1
2022-01-19 19:00:00,2.78,2.568947601318359,1
2022-01-19 19:05:00,2.77,2.550626525878906,1
2022-01-19 19:10:00,2.74,2.536698455810547,1
2022-01-19 19:15:00,2.71,2.520705413818359,1
2022-01-19 19:20:00,2.68,2.5024652099609375,1
2022-01-19 19:25:00,2.65,2.482291870117187,1
2022-01-19 19:30:00,2.62,2.4662831115722654,1
2022-01-19 19:35:00,2.59,2.439521026611328,1
2022-01-19 19:40:00,2.56,2.4129132080078124,1
2022-01-19 19:45:00,2.53,2.3861598205566406,1
2022-01-19 19:50:00,2.5,2.3594905090332032,1
2022-01-19 19:55:00,2.47,2.335063018798828,1
2022-01-19 20:00:00,2.44,2.3085954284667967,1
2022-01-19 20:05:00,2.41,2.2842054748535157,1
2022-01-19 20:10:00,2.38,2.256034698486328,1
2022-01-19 20:15:00,2.35,2.230171661376953,1
2022-01-19 20:20:00,2.32,2.204437561035156,1
2022-01-19 20:25:00,2.29,2.1789517211914062,1
2022-01-19 20:30:00,2.26,2.1497756958007814,1
2022-01-19 20:35:00,2.23,2.1265719604492186,1
2022-01-19 20:40:00,2.19,2.1018635559082033,1
2022-01-19 20:45:00,2.17,2.077652587890625,1
2022-01-19 20:50:00,2.14,2.0499586486816406,1
2022-01-19 20:55:00,2.11,2.024344940185547,1
2022-01-19 21:00:00,2.07,1.9993207550048828,1
2022-01-19 21:05:00,2.04,1.9728922271728515,1
2022-01-19 21:10:00,2.01,1.9470364379882812,1
2022-01-19 21:15:00,1.98,1.9233084869384767,1
2022-01-19 21:20:00,1.95,1.899998779296875,1
2022-01-19 21:25:00,1.92,1.8770361328125,1
2022-01-19 21:30:00,1.89,1.852951431274414,1
2022-01-19 21:35:00,1.86,1.8308221435546874,1
2022-01-19 21:40:00,1.83,1.8087331390380859,1
2022-01-19 21:45:00,1.8,1.7873455047607423,0
2022-01-19 21:50:00,1.77,1.7649596405029297,0
2022-01-19 21:55:00,1.74,1.744289093017578,0
2022-01-19 22:00:00,1.71,1.7250078582763673,0
2022-01-19 22:05:00,1.68,1.7066722869873048,0
2022-01-19 22:10:00,1.65,1.6870919036865235,0
2022-01-19 22:15:00,1.62,1.6688986968994142,0
2022-01-19 22:20:00,1.59,1.6493476104736329,0
2022-01-19 22:25:00,1.56,1.6317081451416016,0
2022-01-19 22:30:00,1.53,1.6146961212158204,0
2022-01-19 22:35:00,1.5,1.5999665832519532,0
2022-01-19 22:40:00,1.47,1.587192611694336,0
2022-01-19 22:45:00,1.45,1.5747406005859375,0
2022-01-19 22:50:00,1.42,1.5640701293945314,0
2022-01-19 22:55:00,1.39,1.5535454559326172,0
2022-01-19 23:00:00,1.36,1.543148956298828,0
2022-01-19 23:05:00,1.32,1.531381607055664,0
2022-01-19 23:10:00,1.29,1.5212105560302736,0
2022-01-19 23:15:00,1.26,1.5110672760009767,0
2022-01-19 23:20:00,1.22,1.5057492065429687,0
2022-01-19 23:25:00,1.19,1.4990973663330078,0
2022-01-19 23:30:00,1.15,1.4949691009521484,0
2022-01-19 23:35:00,1.12,1.4936378479003907,0
2022-01-19 23:40:00,1.1,1.494712142944336,0
2022-01-19 23:45:00,1.11,1.496905059814453,0
2022-01-19 23:50:00,1.11,1.498940887451172,0
2022-01-19 23:55:00,1.11,1.5011150360107424,0
2022-01-20 00:00:00,1.11,1.5032159423828126,0
2022-01-20 00:05:00,1.11,1.5063965606689453,0
2022-01-20 00:10:00,1.11,1.5085300445556642,0
2022-01-20 00:15:00,1.11,1.5117555236816407,0
2022-01-20 00:20:00,1.11,1.518244857788086,0
2022-01-20 00:25:00,1.11,1.5270328521728516,0
2022-01-20 00:30:00,1.11,1.537872314453125,0
2022-01-20 00:35:00,1.11,1.5469698333740236,0
2022-01-20 00:40:00,1.11,1.5552105712890625,0
2022-01-20 00:45:00,1.11,1.5657857513427735,0
2022-01-20 00:50:00,1.11,1.5811994934082032,-1
2022-01-20 00:55:00,1.11,1.6003115844726563,-1
2022-01-20 01:00:00,1.11,1.6215733337402345,-1
2022-01-20 01:05:00,1.13,1.6428530883789063,-1
2022-01-20 01:10:00,1.17,1.6669122314453126,-1
2022-01-20 01:15:00,1.21,1.6917876434326173,-1
2022-01-20 01:20:00,1.25,1.715279541015625,-1
2022-01-20 01:25:00,1.28,1.7422654724121094,-1
2022-01-20 01:30:00,1.32,1.7695494842529298,-1
2022-01-20 01:35:00,1.36,1.7947454071044922,-1
2022-01-20 01:40:00,1.4,1.8220149230957032,-1
2022-01-20 01:45:00,1.44,1.851377944946289,-1
